rec_n,x,y,z,max,pct98,exc_1h,n_epis,dur_epis,dist_x_y,rec_lab,samtype,pktime,PMR_type,PMR_lab,out_model,system
1,738159.1,5073566,2,5.271907,1.80080586,596,330,8,100,R1,avg,NA,static,s_2.3,default,calpuff
2,738059.1,5073466,2,2.675788,1.37000198,440,291,7,200,R2,avg,NA,static,s_2.3,default,calpuff
3,737959,5073366,2,1.995849,0.868219388,100,92,4,300,R3,avg,NA,static,s_2.3,default,calpuff
4,737859.1,5073266,2,1.354295,0.598741462,19,19,1,400,R4,avg,NA,static,s_2.3,default,calpuff
5,737759,5073166,2,1.084125,0.392618504,1,1,1,500,R5,avg,NA,static,s_2.3,default,calpuff
6,737659.1,5073066,2,1.019232,0.318731432,1,1,1,600,R6,avg,NA,static,s_2.3,default,calpuff
7,737559.1,5072966,2,0.8780436,0.265260209999999,0,0,0,700,R7,avg,NA,static,s_2.3,default,calpuff
8,737459,5072866,2,0.7358224,0.22856252,0,0,0,800,R8,avg,NA,static,s_2.3,default,calpuff
9,737359.1,5072766,2,0.5924109,0.20003434,0,0,0,900,R9,avg,NA,static,s_2.3,default,calpuff
10,737259,5072666,2,0.4646174,0.176914454,0,0,0,1000,R10,avg,NA,static,s_2.3,default,calpuff
11,737159.1,5072566,2,0.4224674,0.168517968,0,0,0,1100,R11,avg,NA,static,s_2.3,default,calpuff
12,737059.1,5072466,2,0.3592003,0.155981302,0,0,0,1200,R12,avg,NA,static,s_2.3,default,calpuff
13,736959,5072366,2,0.3340409,0.144986814,0,0,0,1300,R13,avg,NA,static,s_2.3,default,calpuff
14,736859.1,5072266,2,0.3131274,0.134427836,0,0,0,1400,R14,avg,NA,static,s_2.3,default,calpuff
15,736759,5072166,2,0.2948043,0.125540346,0,0,0,1500,R15,avg,NA,static,s_2.3,default,calpuff
16,736659.1,5072066,2,0.2836791,0.11810256,0,0,0,1600,R16,avg,NA,static,s_2.3,default,calpuff
17,736559.1,5071966,2,0.2839401,0.109844838,0,0,0,1700,R17,avg,NA,static,s_2.3,default,calpuff
18,736459,5071866,2,0.2873004,0.104007008,0,0,0,1800,R18,avg,NA,static,s_2.3,default,calpuff
19,736359.1,5071766,2,0.2493293,0.0984515548,0,0,0,1900,R19,avg,NA,static,s_2.3,default,calpuff
20,736259,5071666,2,0.2272705,0.0919195817999999,0,0,0,2000,R20,avg,NA,static,s_2.3,default,calpuff
21,736159.1,5071566,2,0.2152252,0.087683481,0,0,0,2100,R21,avg,NA,static,s_2.3,default,calpuff
22,736059.1,5071466,2,0.2019122,0.0833615405999999,0,0,0,2200,R22,avg,NA,static,s_2.3,default,calpuff
23,735959,5071366,2,0.1868412,0.0772516096,0,0,0,2300,R23,avg,NA,static,s_2.3,default,calpuff
24,735859.1,5071266,2,0.1692366,0.0711813665999999,0,0,0,2400,R24,avg,NA,static,s_2.3,default,calpuff
25,735759,5071166,2,0.1471466,0.0637976975999999,0,0,0,2500,R25,avg,NA,static,s_2.3,default,calpuff
1,738159,5073566,2,5.376,2.177,1663,811,11,100,R1,avg,NA,static,s_avg_2.3,out_01,lapmod
2,738059,5073466,2,3.515,1.821,743,456,6,200,R2,avg,NA,static,s_avg_2.3,out_01,lapmod
3,737959,5073366,2,2.895,1.541,444,272,6,300,R3,avg,NA,static,s_avg_2.3,out_01,lapmod
4,737859,5073266,2,3.007,1.219,257,168,6,400,R4,avg,NA,static,s_avg_2.3,out_01,lapmod
5,737759,5073166,2,2.622,0.8876,144,103,6,500,R5,avg,NA,static,s_avg_2.3,out_01,lapmod
6,737659,5073066,2,2.516,0.7763,92,77,3,600,R6,avg,NA,static,s_avg_2.3,out_01,lapmod
7,737559,5072966,2,2.004,0.654,63,55,2,700,R7,avg,NA,static,s_avg_2.3,out_01,lapmod
8,737459,5072866,2,1.68,0.5315,42,39,2,800,R8,avg,NA,static,s_avg_2.3,out_01,lapmod
9,737359,5072766,2,1.521,0.4422,24,24,1,900,R9,avg,NA,static,s_avg_2.3,out_01,lapmod
10,737259,5072666,2,1.28,0.3665,10,10,1,1000,R10,avg,NA,static,s_avg_2.3,out_01,lapmod
11,737159,5072566,2,1.117,0.3216,3,3,1,1100,R11,avg,NA,static,s_avg_2.3,out_01,lapmod
12,737059,5072466,2,1.041,0.2909,1,1,1,1200,R12,avg,NA,static,s_avg_2.3,out_01,lapmod
13,736959,5072366,2,0.9078,0.2632,0,0,0,1300,R13,avg,NA,static,s_avg_2.3,out_01,lapmod
14,736859,5072266,2,0.8431,0.2409,0,0,0,1400,R14,avg,NA,static,s_avg_2.3,out_01,lapmod
15,736759,5072166,2,0.7849,0.2108,0,0,0,1500,R15,avg,NA,static,s_avg_2.3,out_01,lapmod
16,736659,5072066,2,0.7524,0.2054,0,0,0,1600,R16,avg,NA,static,s_avg_2.3,out_01,lapmod
17,736559,5071966,2,0.7927,0.1891,0,0,0,1700,R17,avg,NA,static,s_avg_2.3,out_01,lapmod
18,736459,5071866,2,0.872,0.1785,0,0,0,1800,R18,avg,NA,static,s_avg_2.3,out_01,lapmod
19,736359,5071766,2,0.8746,0.1745,0,0,0,1900,R19,avg,NA,static,s_avg_2.3,out_01,lapmod
20,736259,5071666,2,0.7573,0.1656,0,0,0,2000,R20,avg,NA,static,s_avg_2.3,out_01,lapmod
21,736159,5071566,2,0.6624,0.1552,0,0,0,2100,R21,avg,NA,static,s_avg_2.3,out_01,lapmod
22,736059,5071466,2,0.6186,0.1455,0,0,0,2200,R22,avg,NA,static,s_avg_2.3,out_01,lapmod
23,735959,5071366,2,0.5346,0.1335,0,0,0,2300,R23,avg,NA,static,s_avg_2.3,out_01,lapmod
24,735859,5071266,2,0.4743,0.1194,0,0,0,2400,R24,avg,NA,static,s_avg_2.3,out_01,lapmod
25,735759,5071166,2,0.4504,0.09821,0,0,0,2500,R25,avg,NA,static,s_avg_2.3,out_01,lapmod
1,738159,5073566,2,7.856,2.794,2074,949,14,100,R1,max,NA,static,s_max_1.6,out_02,lapmod
2,738059,5073466,2,9.464,2.213,1293,748,9,200,R2,max,NA,static,s_max_1.6,out_02,lapmod
3,737959,5073366,2,4.566,2.096,885,527,7,300,R3,max,NA,static,s_max_1.6,out_02,lapmod
4,737859,5073266,2,3.773,1.913,603,402,6,400,R4,max,NA,static,s_max_1.6,out_02,lapmod
5,737759,5073166,2,7.235,1.571,451,313,6,500,R5,max,NA,static,s_max_1.6,out_02,lapmod
6,737659,5073066,2,3.989,1.425,387,281,4,600,R6,max,NA,static,s_max_1.6,out_02,lapmod
7,737559,5072966,2,1.972,1.219,313,237,3,700,R7,max,NA,static,s_max_1.6,out_02,lapmod
8,737459,5072866,2,2.74,1.029,193,160,3,800,R8,max,NA,static,s_max_1.6,out_02,lapmod
9,737359,5072766,2,4.077,0.8843,74,70,2,900,R9,max,NA,static,s_max_1.6,out_02,lapmod
10,737259,5072666,2,3.592,0.7333,15,14,2,1000,R10,max,NA,static,s_max_1.6,out_02,lapmod
11,737159,5072566,2,1.357,0.6506,9,9,1,1100,R11,max,NA,static,s_max_1.6,out_02,lapmod
12,737059,5072466,2,1.754,0.5792,6,6,1,1200,R12,max,NA,static,s_max_1.6,out_02,lapmod
13,736959,5072366,2,1.298,0.5024,4,4,1,1300,R13,max,NA,static,s_max_1.6,out_02,lapmod
14,736859,5072266,2,1.412,0.4644,4,4,1,1400,R14,max,NA,static,s_max_1.6,out_02,lapmod
15,736759,5072166,2,1.13,0.4144,2,2,1,1500,R15,max,NA,static,s_max_1.6,out_02,lapmod
16,736659,5072066,2,1.163,0.3934,1,1,1,1600,R16,max,NA,static,s_max_1.6,out_02,lapmod
17,736559,5071966,2,1.557,0.3665,2,2,1,1700,R17,max,NA,static,s_max_1.6,out_02,lapmod
18,736459,5071866,2,1.77,0.3403,3,3,1,1800,R18,max,NA,static,s_max_1.6,out_02,lapmod
19,736359,5071766,2,1.152,0.3264,1,1,1,1900,R19,max,NA,static,s_max_1.6,out_02,lapmod
20,736259,5071666,2,0.9435,0.3037,0,0,0,2000,R20,max,NA,static,s_max_1.6,out_02,lapmod
21,736159,5071566,2,0.9955,0.2827,0,0,0,2100,R21,max,NA,static,s_max_1.6,out_02,lapmod
22,736059,5071466,2,0.9747,0.2663,0,0,0,2200,R22,max,NA,static,s_max_1.6,out_02,lapmod
23,735959,5071366,2,0.8408,0.2523,0,0,0,2300,R23,max,NA,static,s_max_1.6,out_02,lapmod
24,735859,5071266,2,0.7202,0.24,0,0,0,2400,R24,max,NA,static,s_max_1.6,out_02,lapmod
25,735759,5071166,2,0.6978,0.2048,0,0,0,2500,R25,max,NA,static,s_max_1.6,out_02,lapmod
1,738159,5073566,2,55.01,23.74,2480,585,17,100,R1,avg,5,dynamic,d_avg_5s,out_03,lapmod
2,738059,5073466,2,25.27,9.528,1693,489,16,200,R2,avg,5,dynamic,d_avg_5s,out_03,lapmod
3,737959,5073366,2,14.08,4.298,1145,414,14,300,R3,avg,5,dynamic,d_avg_5s,out_03,lapmod
4,737859,5073266,2,6.697,2.075,597,341,7,400,R4,avg,5,dynamic,d_avg_5s,out_03,lapmod
5,737759,5073166,2,5.151,1.046,194,161,5,500,R5,avg,5,dynamic,d_avg_5s,out_03,lapmod
6,737659,5073066,2,3.949,0.7099,65,63,2,600,R6,avg,5,dynamic,d_avg_5s,out_03,lapmod
7,737559,5072966,2,2.928,0.5133,27,26,2,700,R7,avg,5,dynamic,d_avg_5s,out_03,lapmod
8,737459,5072866,2,2.278,0.3614,8,8,1,800,R8,avg,5,dynamic,d_avg_5s,out_03,lapmod
9,737359,5072766,2,1.605,0.2812,4,4,1,900,R9,avg,5,dynamic,d_avg_5s,out_03,lapmod
10,737259,5072666,2,1.27,0.2114,2,2,1,1000,R10,avg,5,dynamic,d_avg_5s,out_03,lapmod
11,737159,5072566,2,1.098,0.1719,1,1,1,1100,R11,avg,5,dynamic,d_avg_5s,out_03,lapmod
12,737059,5072466,2,0.8792,0.1467,0,0,0,1200,R12,avg,5,dynamic,d_avg_5s,out_03,lapmod
13,736959,5072366,2,0.566,0.1259,0,0,0,1300,R13,avg,5,dynamic,d_avg_5s,out_03,lapmod
14,736859,5072266,2,0.4881,0.1135,0,0,0,1400,R14,avg,5,dynamic,d_avg_5s,out_03,lapmod
15,736759,5072166,2,0.4441,0.1007,0,0,0,1500,R15,avg,5,dynamic,d_avg_5s,out_03,lapmod
16,736659,5072066,2,0.3993,0.09573,0,0,0,1600,R16,avg,5,dynamic,d_avg_5s,out_03,lapmod
17,736559,5071966,2,0.3783,0.08914,0,0,0,1700,R17,avg,5,dynamic,d_avg_5s,out_03,lapmod
18,736459,5071866,2,0.3791,0.08215,0,0,0,1800,R18,avg,5,dynamic,d_avg_5s,out_03,lapmod
19,736359,5071766,2,0.3803,0.0791,0,0,0,1900,R19,avg,5,dynamic,d_avg_5s,out_03,lapmod
20,736259,5071666,2,0.3293,0.07391,0,0,0,2000,R20,avg,5,dynamic,d_avg_5s,out_03,lapmod
21,736159,5071566,2,0.288,0.07192,0,0,0,2100,R21,avg,5,dynamic,d_avg_5s,out_03,lapmod
22,736059,5071466,2,0.269,0.06707,0,0,0,2200,R22,avg,5,dynamic,d_avg_5s,out_03,lapmod
23,735959,5071366,2,0.2325,0.06118,0,0,0,2300,R23,avg,5,dynamic,d_avg_5s,out_03,lapmod
24,735859,5071266,2,0.2062,0.05485,0,0,0,2400,R24,avg,5,dynamic,d_avg_5s,out_03,lapmod
25,735759,5071166,2,0.1958,0.04479,0,0,0,2500,R25,avg,5,dynamic,d_avg_5s,out_03,lapmod
1,738159,5073566,2,45.46,12.9,2885,898,17,100,R1,max,5,dynamic,d_max_5s,out_04,lapmod
2,738059,5073466,2,14.75,6.069,1975,773,15,200,R2,max,5,dynamic,d_max_5s,out_04,lapmod
3,737959,5073366,2,8.199,2.748,1250,650,15,300,R3,max,5,dynamic,d_max_5s,out_04,lapmod
4,737859,5073266,2,6.961,1.528,594,438,5,400,R4,max,5,dynamic,d_max_5s,out_04,lapmod
5,737759,5073166,2,5.585,1.071,238,202,3,500,R5,max,5,dynamic,d_max_5s,out_04,lapmod
6,737659,5073066,2,3.962,0.965,155,137,3,600,R6,max,5,dynamic,d_max_5s,out_04,lapmod
7,737559,5072966,2,3.82,0.8018,49,47,2,700,R7,max,5,dynamic,d_max_5s,out_04,lapmod
8,737459,5072866,2,3.393,0.6701,28,27,2,800,R8,max,5,dynamic,d_max_5s,out_04,lapmod
9,737359,5072766,2,2.833,0.5689,14,14,1,900,R9,max,5,dynamic,d_max_5s,out_04,lapmod
10,737259,5072666,2,2.538,0.4701,8,8,1,1000,R10,max,5,dynamic,d_max_5s,out_04,lapmod
11,737159,5072566,2,2.507,0.4234,5,5,1,1100,R11,max,5,dynamic,d_max_5s,out_04,lapmod
12,737059,5072466,2,1.879,0.3712,2,2,1,1200,R12,max,5,dynamic,d_max_5s,out_04,lapmod
13,736959,5072366,2,0.9041,0.3239,0,0,0,1300,R13,max,5,dynamic,d_max_5s,out_04,lapmod
14,736859,5072266,2,1.322,0.2951,1,1,1,1400,R14,max,5,dynamic,d_max_5s,out_04,lapmod
15,736759,5072166,2,1.284,0.2655,2,2,1,1500,R15,max,5,dynamic,d_max_5s,out_04,lapmod
16,736659,5072066,2,1.196,0.2543,2,2,1,1600,R16,max,5,dynamic,d_max_5s,out_04,lapmod
17,736559,5071966,2,1.144,0.2352,1,1,1,1700,R17,max,5,dynamic,d_max_5s,out_04,lapmod
18,736459,5071866,2,1.106,0.2212,1,1,1,1800,R18,max,5,dynamic,d_max_5s,out_04,lapmod
19,736359,5071766,2,0.7203,0.2083,0,0,0,1900,R19,max,5,dynamic,d_max_5s,out_04,lapmod
20,736259,5071666,2,0.5897,0.1936,0,0,0,2000,R20,max,5,dynamic,d_max_5s,out_04,lapmod
21,736159,5071566,2,0.6222,0.1816,0,0,0,2100,R21,max,5,dynamic,d_max_5s,out_04,lapmod
22,736059,5071466,2,0.6092,0.1717,0,0,0,2200,R22,max,5,dynamic,d_max_5s,out_04,lapmod
23,735959,5071366,2,0.5255,0.162,0,0,0,2300,R23,max,5,dynamic,d_max_5s,out_04,lapmod
24,735859,5071266,2,0.4501,0.152,0,0,0,2400,R24,max,5,dynamic,d_max_5s,out_04,lapmod
25,735759,5071166,2,0.4361,0.1326,0,0,0,2500,R25,max,5,dynamic,d_max_5s,out_04,lapmod
1,738159,5073566,2,10.98,5.296,1611,570,12,100,R1,avg,60,dynamic,d_avg_60s,out_05,lapmod
2,738059,5073466,2,5.426,2.361,845,382,11,200,R2,avg,60,dynamic,d_avg_60s,out_05,lapmod
3,737959,5073366,2,3.146,1.146,278,201,5,300,R3,avg,60,dynamic,d_avg_60s,out_05,lapmod
4,737859,5073266,2,2.189,0.6949,42,39,2,400,R4,avg,60,dynamic,d_avg_60s,out_05,lapmod
5,737759,5073166,2,1.787,0.4551,9,9,1,500,R5,avg,60,dynamic,d_avg_60s,out_05,lapmod
6,737659,5073066,2,1.421,0.3743,6,6,1,600,R6,avg,60,dynamic,d_avg_60s,out_05,lapmod
7,737559,5072966,2,1.117,0.3091,1,1,1,700,R7,avg,60,dynamic,d_avg_60s,out_05,lapmod
8,737459,5072866,2,0.9554,0.2411,0,0,0,800,R8,avg,60,dynamic,d_avg_60s,out_05,lapmod
9,737359,5072766,2,0.7492,0.2018,0,0,0,900,R9,avg,60,dynamic,d_avg_60s,out_05,lapmod
10,737259,5072666,2,0.6355,0.163,0,0,0,1000,R10,avg,60,dynamic,d_avg_60s,out_05,lapmod
11,737159,5072566,2,0.4972,0.1437,0,0,0,1100,R11,avg,60,dynamic,d_avg_60s,out_05,lapmod
12,737059,5072466,2,0.4525,0.1307,0,0,0,1200,R12,avg,60,dynamic,d_avg_60s,out_05,lapmod
13,736959,5072366,2,0.3947,0.1154,0,0,0,1300,R13,avg,60,dynamic,d_avg_60s,out_05,lapmod
14,736859,5072266,2,0.3666,0.1076,0,0,0,1400,R14,avg,60,dynamic,d_avg_60s,out_05,lapmod
15,736759,5072166,2,0.3412,0.09417,0,0,0,1500,R15,avg,60,dynamic,d_avg_60s,out_05,lapmod
16,736659,5072066,2,0.3271,0.09222,0,0,0,1600,R16,avg,60,dynamic,d_avg_60s,out_05,lapmod
17,736559,5071966,2,0.3447,0.08518,0,0,0,1700,R17,avg,60,dynamic,d_avg_60s,out_05,lapmod
18,736459,5071866,2,0.3791,0.07875,0,0,0,1800,R18,avg,60,dynamic,d_avg_60s,out_05,lapmod
19,736359,5071766,2,0.3803,0.07628,0,0,0,1900,R19,avg,60,dynamic,d_avg_60s,out_05,lapmod
20,736259,5071666,2,0.3293,0.07248,0,0,0,2000,R20,avg,60,dynamic,d_avg_60s,out_05,lapmod
21,736159,5071566,2,0.288,0.06823,0,0,0,2100,R21,avg,60,dynamic,d_avg_60s,out_05,lapmod
22,736059,5071466,2,0.269,0.06366,0,0,0,2200,R22,avg,60,dynamic,d_avg_60s,out_05,lapmod
23,735959,5071366,2,0.2325,0.05828,0,0,0,2300,R23,avg,60,dynamic,d_avg_60s,out_05,lapmod
24,735859,5071266,2,0.2062,0.05231,0,0,0,2400,R24,avg,60,dynamic,d_avg_60s,out_05,lapmod
25,735759,5071166,2,0.1958,0.04278,0,0,0,2500,R25,avg,60,dynamic,d_avg_60s,out_05,lapmod
1,738159,5073566,2,9.175,3.203,1940,862,14,100,R1,max,60,dynamic,d_max_60s,out_06,lapmod
2,738059,5073466,2,5.915,1.826,1060,664,7,200,R2,max,60,dynamic,d_max_60s,out_06,lapmod
3,737959,5073366,2,2.854,1.401,482,378,4,300,R3,max,60,dynamic,d_max_60s,out_06,lapmod
4,737859,5073266,2,2.358,1.234,315,250,3,400,R4,max,60,dynamic,d_max_60s,out_06,lapmod
5,737759,5073166,2,4.522,1.001,179,150,3,500,R5,max,60,dynamic,d_max_60s,out_06,lapmod
6,737659,5073066,2,2.493,0.9045,112,102,2,600,R6,max,60,dynamic,d_max_60s,out_06,lapmod
7,737559,5072966,2,1.329,0.7743,21,20,2,700,R7,max,60,dynamic,d_max_60s,out_06,lapmod
8,737459,5072866,2,1.713,0.6498,8,8,1,800,R8,max,60,dynamic,d_max_60s,out_06,lapmod
9,737359,5072766,2,2.548,0.5574,4,4,1,900,R9,max,60,dynamic,d_max_60s,out_06,lapmod
10,737259,5072666,2,2.245,0.4632,2,2,1,1000,R10,max,60,dynamic,d_max_60s,out_06,lapmod
11,737159,5072566,2,1.093,0.4126,1,1,1,1100,R11,max,60,dynamic,d_max_60s,out_06,lapmod
12,737059,5072466,2,1.096,0.3641,1,1,1,1200,R12,max,60,dynamic,d_max_60s,out_06,lapmod
13,736959,5072366,2,0.8111,0.3145,0,0,0,1300,R13,max,60,dynamic,d_max_60s,out_06,lapmod
14,736859,5072266,2,0.8827,0.2915,0,0,0,1400,R14,max,60,dynamic,d_max_60s,out_06,lapmod
15,736759,5072166,2,0.7061,0.2609,0,0,0,1500,R15,max,60,dynamic,d_max_60s,out_06,lapmod
16,736659,5072066,2,0.7269,0.2483,0,0,0,1600,R16,max,60,dynamic,d_max_60s,out_06,lapmod
17,736559,5071966,2,0.9734,0.2319,0,0,0,1700,R17,max,60,dynamic,d_max_60s,out_06,lapmod
18,736459,5071866,2,1.106,0.2136,1,1,1,1800,R18,max,60,dynamic,d_max_60s,out_06,lapmod
19,736359,5071766,2,0.7203,0.2055,0,0,0,1900,R19,max,60,dynamic,d_max_60s,out_06,lapmod
20,736259,5071666,2,0.5897,0.1906,0,0,0,2000,R20,max,60,dynamic,d_max_60s,out_06,lapmod
21,736159,5071566,2,0.6222,0.1773,0,0,0,2100,R21,max,60,dynamic,d_max_60s,out_06,lapmod
22,736059,5071466,2,0.6092,0.1671,0,0,0,2200,R22,max,60,dynamic,d_max_60s,out_06,lapmod
23,735959,5071366,2,0.5255,0.158,0,0,0,2300,R23,max,60,dynamic,d_max_60s,out_06,lapmod
24,735859,5071266,2,0.4501,0.1505,0,0,0,2400,R24,max,60,dynamic,d_max_60s,out_06,lapmod
25,735759,5071166,2,0.4361,0.1291,0,0,0,2500,R25,max,60,dynamic,d_max_60s,out_06,lapmod
