"Produzione conglomerati bituminosi, bitumi", Trattamento fanghi impianti depurazione pot. > 10.000 AE
"Produzione concimi, fertilizzanti, fitosanitari ",Essiccazione pollina e/o letame e/o fanghi di depurazione
Impianti prodotti chimici organici o inorganici,Impianti di trattamento rifiuti con potenziali emissioni odorigene
Produzione piastrelle ceramiche con tecniche stampa digitale,Torrefazione caff̬ ed altri prodotti tostati
Lavorazione materie plastiche,Concerie
Fonderie e produzione di anime per fonderia,Industrie petrolifere
Impianti biogas o biometano da biomasse o rifiuti,Industrie farmaceutiche e cosmetiche
Produzione pitture e vernici,Industrie alimentari
"Impianti ex art. 275, impiego solventi > 10 t/anno",Sansifici
Allevamenti zootecnici soglie AIA o ACG emissioni atmosfera,Impianti produzione carta
Allevamenti larve mosca carnaria o simili,Impianti orafi
"Lavorazione scarti macellazione, SOA, farine proteiche, grassi, ecc.","Mangimifici, produzione pet food"
"Lavorazione scarti vegetali, vinacce, ecc.",Impianti industria geotermica
